Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,0,full_name,gid
Orange County Sheriff Department,FL,12,,4918.0,49,305.0,1208,3356,27195.0,8728,16095.0,2372.0,,,,,,,,,,orange county,"orange county,FL",05000US12095
Osceola County Sheriff Department,FL,12,,752.0,5,33.0,65,649,5031.0,1740,3089.0,202.0,,,,,,,,,,osceola county,"osceola county,FL",05000US12097
Palm Beach County Sheriff Department,FL,12,,2158.0,19,164.0,524,1451,14626.0,3767,9722.0,1137.0,,,,,,,,,,palm beach county,"palm beach county,FL",05000US12099
Palmetto Police Dept,FL,12,12948.0,135.0,4,9.0,21,101,431.0,137,272.0,22.0,1042.6,30.9,69.5,162.2,780.0,3328.7,1058.1,2100.7,169.9,palmetto,"palmetto,FL",16000US1254275
Pasco County Sheriff Department,FL,12,,1256.0,11,97.0,238,910,10945.0,3015,7334.0,596.0,,,,,,,,,,pasco county,"pasco county,FL",05000US12101
Pinellas County Sheriff Department,FL,12,,926.0,12,94.0,143,677,6040.0,1535,4239.0,266.0,,,,,,,,,,pinellas county,"pinellas county,FL",05000US12103
Polk County Sheriff Department,FL,12,,1140.0,19,59.0,154,908,8754.0,3186,5098.0,470.0,,,,,,,,,,polk county,"polk county,FL",05000US12105
Putnam County Sheriff Department,FL,12,,360.0,5,28.0,29,298,2205.0,823,1318.0,64.0,,,,,,,,,,putnam county,"putnam county,FL",05000US12107
Santa Rosa County Sheriff Department,FL,12,,215.0,0,24.0,23,168,1772.0,491,1193.0,88.0,,,,,,,,,,santa rosa county,"santa rosa county,FL",05000US12113
Sarasota County Sheriff Department,FL,12,,638.0,11,22.0,132,473,6510.0,1647,4627.0,236.0,,,,,,,,,,sarasota county,"sarasota county,FL",05000US12115
Seminole County Sheriff Department,FL,12,,583.0,5,37.0,86,455,3255.0,900,2183.0,172.0,,,,,,,,,,seminole county,"seminole county,FL",05000US12117
South Miami Police Dept,FL,12,12095.0,90.0,0,2.0,39,49,841.0,136,680.0,25.0,744.1,0.0,16.5,322.4,405.1,6953.3,1124.4,5622.2,206.7,south miami,"south miami,FL",16000US1267575
St. Lucie County Sheriff Department,FL,12,,261.0,0,26.0,31,204,1583.0,480,1016.0,87.0,,,,,,,,,,st. lucie county,"st. lucie county,FL",05000US12111
Sumter County Sheriff Department,FL,12,,117.0,0,13.0,12,92,788.0,269,483.0,36.0,,,,,,,,,,sumter county,"sumter county,FL",05000US12119
Suwannee County Sheriff Department,FL,12,,94.0,1,2.0,5,86,448.0,171,258.0,19.0,,,,,,,,,,suwannee county,"suwannee county,FL",05000US12121
Vero Beach Police Dept,FL,12,15527.0,56.0,0,1.0,17,38,586.0,132,440.0,14.0,360.7,0.0,6.4,109.5,244.7,3774.1,850.1,2833.8,90.2,vero beach,"vero beach,FL",16000US1274200
Volusia County Sheriff Department,FL,12,,780.0,8,52.0,111,609,5210.0,1687,3199.0,324.0,,,,,,,,,,volusia county,"volusia county,FL",05000US12127
Wakulla County Sheriff Department,FL,12,,91.0,0,13.0,4,74,683.0,149,513.0,21.0,,,,,,,,,,wakulla county,"wakulla county,FL",05000US12129
Walton County Sheriff Department,FL,12,,163.0,0,11.0,7,145,1140.0,305,773.0,62.0,,,,,,,,,,walton county,"walton county,FL",05000US12131
Athens-Clarke County Police Department,GA,12,117457.0,455.0,5,48.0,158,244,4601.0,1149,3210.0,242.0,387.4,4.3,40.9,134.5,207.7,3917.2,978.2,2732.9,206.0,athens-clarke county,"athens-clarke county,GA",16000US1303440
Baldwin County Sheriff Department,GA,12,,177.0,2,11.0,5,159,628.0,151,451.0,26.0,,,,,,,,,,baldwin county,"baldwin county,GA",05000US13009
